Associated Gene Name	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	Band	Transcript count	Gene Biotype	Status (gene)
mt-Nd4	ENSMUSG00000064363	MT	10167	11544	1		1	protein_coding	KNOWN
mt-Nd4l	ENSMUSG00000065947	MT	9877	10173	1		1	protein_coding	KNOWN
mt-Tr	ENSMUSG00000064361	MT	9808	9875	1		1	Mt_tRNA	KNOWN
mt-Nd3	ENSMUSG00000064360	MT	9459	9806	1		1	protein_coding	KNOWN
mt-Tg	ENSMUSG00000064359	MT	9391	9458	1		1	Mt_tRNA	KNOWN
mt-Co3	ENSMUSG00000064358	MT	8607	9390	1		1	protein_coding	KNOWN
mt-Atp6	ENSMUSG00000064357	MT	7927	8607	1		1	protein_coding	KNOWN
mt-Atp8	ENSMUSG00000064356	MT	7766	7969	1		1	protein_coding	KNOWN
mt-Tk	ENSMUSG00000064355	MT	7700	7764	1		1	Mt_tRNA	KNOWN
mt-Co2	ENSMUSG00000064354	MT	7013	7696	1		1	protein_coding	KNOWN
mt-Td	ENSMUSG00000064353	MT	6942	7011	1		1	Mt_tRNA	KNOWN
mt-Ts1	ENSMUSG00000064352	MT	6870	6938	-1		1	Mt_tRNA	KNOWN
mt-Co1	ENSMUSG00000064351	MT	5328	6872	1		1	protein_coding	KNOWN
mt-Ty	ENSMUSG00000064350	MT	5260	5326	-1		1	Mt_tRNA	KNOWN
mt-Tc	ENSMUSG00000064349	MT	5192	5257	-1		1	Mt_tRNA	KNOWN
mt-Tn	ENSMUSG00000064348	MT	5089	5159	-1		1	Mt_tRNA	KNOWN
mt-Ta	ENSMUSG00000064347	MT	5018	5086	-1		1	Mt_tRNA	KNOWN
mt-Tw	ENSMUSG00000064346	MT	4950	5016	1		1	Mt_tRNA	KNOWN
mt-Nd2	ENSMUSG00000064345	MT	3914	4951	1		1	protein_coding	KNOWN
mt-Tm	ENSMUSG00000064344	MT	3845	3913	1		1	Mt_tRNA	KNOWN
mt-Tq	ENSMUSG00000064343	MT	3772	3842	-1		1	Mt_tRNA	KNOWN
mt-Ti	ENSMUSG00000064342	MT	3706	3774	1		1	Mt_tRNA	KNOWN
mt-Nd1	ENSMUSG00000064341	MT	2751	3707	1		1	protein_coding	KNOWN
